,Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
0,FMNL2,Q96PY5,P62269,38891874,RPS18,0.685338735580444,0.803763270378112,0.403224408626556,0.573610007762908,0.2437106668949127
1,FMNL2,Q96PY5,O00755,38891874,WNT7A,0.685338735580444,0.803763270378112,0.05428659170866,0.08444033563137,0.169964998960495
2,FMNL2,Q96PY5,P49959,38891874,MRE11,0.685338735580444,0.803763270378112,0.9253407716751092,0.918364822864532,0.2382974177598953
3,FMNL2,Q96PY5,P23921,38891874,RRM1,0.685338735580444,0.803763270378112,0.355800300836563,0.8009147644042961,0.320387601852417
4,FMNL2,Q96PY5,O43684,38891874,BUB3,0.685338735580444,0.803763270378112,0.374361425638198,0.7024703025817871,0.2326574772596359
5,FMNL2,Q96PY5,P35573,38891874,AGL,0.685338735580444,0.803763270378112,0.058833926916122,0.326186835765838,0.1966313272714615
6,FMNL2,Q96PY5,Q5JRX3,38891874,PITRM1,0.685338735580444,0.803763270378112,0.063462436199188,0.145329937338829,0.1310269236564636
7,FMNL2,Q96PY5,P15531,38891874,NME1,0.685338735580444,0.803763270378112,0.568373322486877,0.643221735954284,0.3568569719791412
8,FMNL2,Q96PY5,Q9GZV4,38891874,EIF5A2,0.685338735580444,0.803763270378112,0.211650803685188,0.334972769021987,0.2965719401836395
9,FMNL2,Q96PY5,P78344,38891874,EIF4G2,0.685338735580444,0.803763270378112,0.935107350349426,0.838588714599609,0.3270836770534515
10,FMNL2,Q96PY5,Q00341,38891874,HDLBP,0.685338735580444,0.803763270378112,0.527656733989715,0.88329392671585,0.2922441363334656
11,FMNL2,Q96PY5,P20340,38891874,RAB6A,0.685338735580444,0.803763270378112,0.563553571701049,0.543067574501037,0.1394497007131576
12,FMNL2,Q96PY5,Q9HCC0,38891874,MCCC2,0.685338735580444,0.803763270378112,0.049439419060945,0.241557478904724,0.15772545337677
13,FMNL2,Q96PY5,P62879,38891874,GNB2,0.685338735580444,0.803763270378112,0.15583436191082,0.197617024183273,0.2546476721763611
14,FMNL2,Q96PY5,Q9Y5X3,38891874,SNX5,0.685338735580444,0.803763270378112,0.385663449764251,0.7764370441436761,0.1885090172290802
15,FMNL2,Q96PY5,Q8N5K1,38891874,CISD2,0.685338735580444,0.803763270378112,0.05434913188219,0.157862707972526,0.1537263393402099
16,FMNL2,Q96PY5,Q01081,38891874,U2AF1,0.685338735580444,0.803763270378112,0.859735310077667,0.907655537128448,0.344838798046112
17,FMNL2,Q96PY5,P08708,38891874,RPS17,0.685338735580444,0.803763270378112,0.440060526132583,0.8970975875854491,0.3287604749202728
18,FMNL2,Q96PY5,P11387,38891874,TOP1,0.685338735580444,0.803763270378112,0.7018611431121821,0.8555550575256341,0.3008167147636413
19,FMNL2,Q96PY5,Q14739,38891874,LBR,0.685338735580444,0.803763270378112,0.418950408697128,0.334378689527511,0.2295443564653396
20,FMNL2,Q96PY5,Q14974,38891874,KPNB1,0.685338735580444,0.803763270378112,0.091137006878852,0.074117422103881,0.3847613930702209
21,FMNL2,Q96PY5,P24941,38891874,CDK2,0.685338735580444,0.803763270378112,0.132475554943084,0.163240283727645,0.306628406047821
22,FMNL2,Q96PY5,Q93009,38891874,USP7,0.685338735580444,0.803763270378112,0.065114803612232,0.352672517299652,0.2965026795864105
23,FMNL2,Q96PY5,P27449,38891874,ATP6V0C,0.685338735580444,0.803763270378112,0.134092479944229,0.048734411597251,0.1216906458139419
24,FMNL2,Q96PY5,P12268,38891874,IMPDH2,0.685338735580444,0.803763270378112,0.320046216249465,0.56648188829422,0.3509321808815002
25,FMNL2,Q96PY5,Q5T4S7,38891874,UBR4,0.685338735580444,0.803763270378112,0.216124936938285,0.394124835729599,0.2991692721843719
26,FMNL2,Q96PY5,Q99832,38891874,CCT7,0.685338735580444,0.803763270378112,0.396182566881179,0.239197224378585,0.2221713364124298
27,FMNL2,Q96PY5,P10768,38891874,ESD,0.685338735580444,0.803763270378112,0.257684171199798,0.5619320869445801,0.2128041237592697
28,FMNL2,Q96PY5,P61513,38891874,RPL37A,0.685338735580444,0.803763270378112,0.29352656006813,0.521021008491516,0.2463718354701995
29,FMNL2,Q96PY5,P62280,38891874,RPS11,0.685338735580444,0.803763270378112,0.712270617485046,0.8977368474006651,0.2512616515159607
30,FMNL2,Q96PY5,Q9Y678,38891874,COPG1,0.685338735580444,0.803763270378112,0.203973963856697,0.241964295506477,0.3601003587245941
31,FMNL2,Q96PY5,O14925,38891874,TIMM23,0.685338735580444,0.803763270378112,0.082205779850482,0.082174755632877,0.207429364323616
32,FMNL2,Q96PY5,Q9UKK9,38891874,NUDT5,0.685338735580444,0.803763270378112,0.428302466869354,0.5638548135757441,0.3430716395378113
33,FMNL2,Q96PY5,Q8IYD1,38891874,GSPT2,0.685338735580444,0.803763270378112,0.055335558950901,0.586875438690185,0.2429364025592804
34,FMNL2,Q96PY5,O95819,38891874,MAP4K4,0.685338735580444,0.803763270378112,0.903744518756866,0.948223769664764,0.2861908078193664
35,FMNL2,Q96PY5,P49792,38891874,RANBP2,0.685338735580444,0.803763270378112,0.8792891502380371,0.940941214561462,0.3597308993339538
36,FMNL2,Q96PY5,P41240,38891874,CSK,0.685338735580444,0.803763270378112,0.261618942022323,0.372071504592895,0.372052937746048
37,FMNL2,Q96PY5,Q9BSJ8,38891874,ESYT1,0.685338735580444,0.803763270378112,0.6062819361686701,0.431197941303253,0.2204327583312988
38,FMNL2,Q96PY5,Q13185,38891874,CBX3,0.685338735580444,0.803763270378112,0.82945841550827,0.8836170434951781,0.3846585154533386
39,FMNL2,Q96PY5,P04843,38891874,RPN1,0.685338735580444,0.803763270378112,0.250943541526794,0.318942010402679,0.1924897581338882
40,FMNL2,Q96PY5,Q15185,38891874,PTGES3,0.685338735580444,0.803763270378112,0.8146872520446771,0.9434901475906372,0.2961425185203552
41,FMNL2,Q96PY5,P46109,38891874,CRKL,0.685338735580444,0.803763270378112,0.571638584136962,0.805967926979064,0.3533643782138824
42,FMNL2,Q96PY5,Q9H9B4,38891874,SFXN1,0.685338735580444,0.803763270378112,0.054716754704713,0.06574347615242,0.1868397742509842
43,FMNL2,Q96PY5,P67936,38891874,TPM4,0.685338735580444,0.803763270378112,0.619767487049102,0.55419898033142,0.2966558933258056
44,FMNL2,Q96PY5,P39748,38891874,FEN1,0.685338735580444,0.803763270378112,0.841848254203796,0.853359401226043,0.2352761477231979
45,FMNL2,Q96PY5,Q96QG7,38891874,MTMR9,0.685338735580444,0.803763270378112,0.143780931830406,0.032139547169208,0.0931461825966835
46,FMNL2,Q96PY5,P07954,38891874,FH,0.685338735580444,0.803763270378112,0.337183773517608,0.380564600229263,0.2491746693849563
47,FMNL2,Q96PY5,Q96GK7,38891874,FAHD2A,0.685338735580444,0.803763270378112,0.165871128439903,0.033451814204454,0.2191440314054489
