uniprot_entry	source
Q8WZ73	deepphase
Q15008	deepphase
P09525	deepphase
Q9Y2E6	deepphase
Q14094	deepphase
Q9BYG3	deepphase
P09972	deepphase
P0DMU7	deepphase
Q9Y316	deepphase
P28328	deepphase
Q9H9A7	deepphase
Q96JF0	deepphase
Q96A83	deepphase
Q9H9Q4	deepphase
Q9BW61	deepphase
Q9NVU7	deepphase
O43526	deepphase
O43707	deepphase
Q5VWQ0	deepphase
Q6UB99	deepphase
Q8NDZ2	deepphase
A0JLT2	deepphase
P98177	deepphase
Q16539	deepphase
O95696	deepphase
Q14674	deepphase
Q8NEB5	deepphase
Q9BYH8	deepphase
Q9NS73	deepphase
Q9UKJ3	deepphase
P07858	deepphase
P23677	deepphase
Q8ND82	deepphase
Q6ECI4	deepphase
Q03468	deepphase
Q99581	deepphase
P25440	deepphase
Q86VW2	deepphase
Q96RE7	deepphase
Q9Y3C8	deepphase
O75663	deepphase
Q86VD9	deepphase
Q9NRZ9	deepphase
P10636	deepphase
Q9H8H2	deepphase
O60524	deepphase
Q8N1Q1	deepphase
Q92837	deepphase
Q15072	deepphase
O75467	deepphase
Q9BUA3	deepphase
Q9H1U4	deepphase
Q9H9S4	deepphase
Q96G21	deepphase
P0DMV8	deepphase
Q96K75	deepphase
P02768	deepphase
P0DMV9	deepphase
Q9UQ49	deepphase
Q9Y252	deepphase
Q9NZL4	deepphase
Q9HB09	deepphase
Q9Y388	deepphase
Q9BZR9	deepphase
Q6ZN17	deepphase
Q03252	deepphase
Q14137	deepphase
Q7Z6J8	deepphase
Q86V85	deepphase
O15547	deepphase
Q6ZWE6	deepphase
A2A2Z9	deepphase
Q8IZL8	deepphase
A6NGC4	deepphase
Q8IZD0	deepphase
Q71RC9	deepphase
Q96AA3	deepphase
O14966	deepphase
Q8WY54	deepphase
Q8WTS1	deepphase
P06454	deepphase
Q13416	deepphase
O00221	deepphase
P13805	deepphase
Q9BYD3	deepphase
Q9NQZ2	deepphase
O95169	deepphase
Q9UJG1	deepphase
Q8N573	deepphase
Q49A26	deepphase
Q9NWM3	deepphase
Q6KCM7	deepphase
P49756	deepphase
Q5U3C3	deepphase
Q9NV66	deepphase
O14717	deepphase
Q86VQ1	deepphase
Q9NVP4	deepphase
O00287	deepphase
Q7Z6L1	deepphase
P55854	deepphase
Q9UMS5	deepphase
Q7Z340	deepphase
O00512	deepphase
A6NFT4	deepphase
Q8TDG4	deepphase
Q9Y466	deepphase
Q9BRT6	deepphase
Q9Y6G3	deepphase
Q5T2W1	deepphase
Q6AZZ1	deepphase
Q8WXF1	deepphase
Q5FWF7	deepphase
Q13492	deepphase
Q5D0E6	deepphase
Q06413	deepphase
P31040	deepphase
Q8IYI0	deepphase
Q8N9M5	deepphase
P0DKX4	deepphase
Q8IXQ4	deepphase
Q9NQ89	deepphase
Q6PG37	deepphase
Q9HCY8	deepphase
P09669	deepphase
Q9ULD2	deepphase
Q9UNP4	deepphase
A6NMS7	deepphase
Q5MJ09	deepphase
Q15735	deepphase
Q9H008	deepphase
P11047	deepphase
O95319	deepphase
Q14119	deepphase
Q9Y282	deepphase
Q9UHN6	deepphase
