Names	total	elements
		Q13610
		Q9H2U1
		Q96L92
		Q6RFH5
		P12270
		Q9H910
		Q7L1Q6
		Q15404
		Q96C19
		Q5K651
		Q9BYD3
		P54578
		Q9NTJ3
		P22059
		P29374
		Q96RN5
		O43847
		Q16537
		Q00169
CoFrac HCM QUBIC	15	Q9Y5A9
		Q14444
		Q92945
		Q8WWQ0
		O00571
		Q92621
		Q01082
		P09497
		Q14103
		P04040
		Q6UXN9
		Q15717
		P31942
		Q9BXS6
		Q99729
BioPlex3.0 HuRI	452	Q9H7P9
		Q9BQ04
		Q96HJ3
		Q92824
		Q16560
		Q9H869
		Q9UBU7
		Q53HV7
		Q9UBW5
		Q96LX8
		P49427
		Q969F1
		P10415
		O95476
		Q96DU9
		O43813
		P54259
		Q16206
		P41226
		Q8N8Y5
		Q9UBP5
		Q14929
		Q13546
		P61236
		P04004
		P50222
		Q16385
		O60259
		P43358
		Q9NS00
		Q13421
		Q86TG1
		Q8IZ63
		O43365
		Q96CC6
		Q9BPY3
		Q6IQ16
		Q8TAP9
		Q7Z7N9
		Q6P9A3
		Q495M9
		Q96S65
		Q9ULK2
		Q9Y6A9
		Q6ZP80
		Q8IW36
		Q6PEW1
		Q7RTT5
		P48552
		Q9UN79
		P17509
		Q15012
		Q9Y5Q0
		Q9NQX1
		Q16082
		Q7Z6G8
		Q9NZH6
		Q96DA0
		P50895
		Q8NG27
		O15231
		Q13207
		P48547
		Q9HAJ7
		Q9ULZ2
		Q9NPJ4
		Q96G04
		Q9HAV5
		Q9BYU1
		O43314
		Q4VX76
		Q9NS37
		Q12772
		Q8NF99
		P27701
		Q9ULP0
		P28799
		Q9UPW0
		Q9BVK8
		Q9H6L4
		Q9H3D4
		Q8N131
		Q8IWB1
		Q49A92
		Q8N1A0
		A6NEL2
		Q9UK13
		Q7L190
		P41220
		A2RU49
		Q14511
		O60806
		Q99717
		Q5I0X4
		Q99638
		Q13835
		P35548
		Q99558
		Q96SW2
		O15392
		P09016
		Q86SE8
		Q14CS0
		Q13137
		Q96PB7
		Q8IY26
		P07306
		Q9Y6N9
		Q6ZSC3
		Q5T6C5
		Q8N393
		Q8NG50
		Q02548
		O43278
		Q8WUP2
		Q53FD0
		P17643
		Q9NQX5
		Q9Y3S2
		Q96PV7
		Q9GZV1
		Q8TF64
		Q96PU5
		Q969Y0
		Q8NBB4
		O15409
		Q01151
		Q08999
		A6NDS4
		P30039
		Q14094
		O43561
		Q9H2S9
		Q9NZ72
		Q96L08
		O15055
		Q9H299
		Q6DHY5
		Q8N3C7
		P02533
		Q9UIW0
		Q8IX29
		Q86UA6
		Q96BW1
		P40424
		Q00994
		P30304
		Q9BWV1
		Q92838
		Q9UJ71
		P69892
		P08253
		Q9NXK6
		P52798
		Q9H9A6
		P24593
		Q5MJ09
		Q8IYK4
		Q8IUY3
		Q99502
		Q5T7W0
		Q8TCT8
		P62068
		Q5VUD6
		Q8IUH5
		O94818
		Q12983
		Q9HCH5
		Q9H977
		Q6AI12
		Q9UGY1
		Q15788
		Q9H7V2
		Q6PUV4
		Q7Z3E5
		Q9ULV5
		Q02577
		Q9ULD0
		Q96B18
		Q9H8J5
		Q8WWM9
		P27338
		P17041
		Q9Y228
		Q9UJM3
		Q9BRT2
		Q14CW9
		Q96IF1
		Q14153
		Q8N9N8
		Q15828
		P30838
		Q8IYT3
		Q9NX04
		Q96BY2
		Q5JUK2
		Q4VC12
		P54821
		P68871
		Q9ULU8
		Q7Z628
		Q9NSB8
		Q6E0U4
		O15503
		Q8WZ19
		Q14584
		Q96MH2
		Q9UGH3
		O75387
		Q16378
		Q92966
		P10276
		Q8WTV1
		Q8WV19
		A1L190
		Q8IZU1
		P07738
		O00141
		Q14088
		Q6AZZ1
		Q6ICG6
		Q8WV99
		O15315
		P02792
		Q96S79
		Q9HCY8
		P01135
		Q8WXK3
		Q8TC27
		P53539
		Q9H992
		Q96JN2
		P50479
		Q96K80
		P02042
		Q9Y616
		Q9HCB6
		Q9NW75
		Q96NT3
		O94929
		Q9NVV9
		Q6P1M9
		O15539
		O14713
		P09758
		O95166
		Q15699
		Q13422
		Q9BZR9
		Q15726
		O60733
		Q99259
		Q9NZC3
		Q5VX71
		Q5T4B2
		Q9NWM3
		Q01851
		Q9Y577
		Q9H201
		Q96HZ4
		Q8N5I3
		Q86US8
		Q92520
		Q9H8E8
		Q494U1
		Q68CL5
		Q15750
		O15194
		P58397
		Q13761
		Q8TE68
		Q5T700
		Q9Y3M2
		Q8NFR7
		P21549
		Q08722
		Q16533
		Q9H987
		Q9NUL5
		Q9UBY9
		O60224
		Q9Y4I5
		O76083
		O95198
		Q9H8S9
		P98182
		Q9UHY8
		A0PJX4
		Q8IVW4
		Q9Y6H3
		Q9BYC5
		Q7Z6L1
		Q96MV1
		Q6UWT4
		O60238
		Q5T9G4
		Q5VUJ6
		O60575
		P20591
		Q01826
		Q5T7P8
		Q9H190
		Q92737
		Q9BSL1
		Q9P0J6
		P27658
		Q02446
		Q8N6D5
		Q06413
		Q2M1V0
		Q9BYN7
		P01344
		Q16649
		Q9BPW5
		P06702
		Q9BSJ6
		Q3KQZ1
		Q96LD8
		Q68D91
		Q9NR21
		Q92915
		O95231
		Q8IWR1
		Q05D60
		Q8ND90
		Q96JH8
		P09086
		Q4KMG9
		Q9NUK0
		Q6ZWB6
		O43298
		Q9UNY5
		D6RGH6
		P09601
		P78317
		P52824
		Q9BT49
		O75459
		P13805
		P08247
		Q86VI1
		Q8WXG1
		Q70IA6
		Q9NPG8
		Q8TBZ8
		Q02086
		Q8TDD2
		P34810
		Q96FQ6
		P40426
		Q8TCD6
		Q9UJG1
		Q9Y2K1
		Q9BWF2
		Q99418
		Q9UNH5
		P19878
		Q14135
		Q86WT6
		Q16236
		O95471
		Q5TAP6
		Q9Y3M9
		Q71RC9
		O94811
		O94892
		Q8IV45
		Q96NZ9
		P02747
		Q9NRS6
		Q15771
		Q96AP4
		Q8IYE0
		Q9BWG4
		Q3ZCW2
		Q96JC9
		Q9GZU3
		Q8N3Z6
		Q96SL4
		O95171
		Q53EV4
		Q6NT76
		Q9BU02
		Q9C075
		Q6ZTQ4
		Q96CJ1
		P50221
		O14503
		Q86TJ5
		Q7Z5P4
		Q9NY35
		P21741
		P17022
		Q16384
		Q8IV03
		P43268
		Q8IZ57
		P09172
		Q9NR34
		O43808
		Q8N8L2
		O00194
		O60861
		Q96EP1
		Q9NQZ6
		Q8IUI8
		P01127
		Q8N5M1
		P36639
		Q9UPU9
		P78337
		Q5SZQ8
		P54253
		O95990
		Q8WWN9
		Q96QA5
		Q6UWU4
		Q8N7W2
		P09067
		Q9BWX1
		Q5VZY2
		Q9BV36
		Q96BH1
		P35555
		P20393
		Q9BUA3
		Q8WW01
		Q5MJ10
		Q7Z7J7
		Q9NSU2
		P12074
		Q9BZ67
		Q13976
		Q9HCM1
		Q96AN5
		Q15797
		Q9H0R8
		Q9H3H3
		Q63HR2
		P23769
		P26718
		Q13336
		Q6P4H8
		Q8IZD2
		Q99909
		Q86WK6
		Q8WTS1
		Q96HQ0
		Q9GZP1
		P20036
		O75791
		Q9H3M0
HCM HuRI	9	Q5T481
		Q7Z429
		Q86WV6
		O00559
		O15405
		Q8NFU5
		Q9UKA9
		P08727
		Q14331
HuRI QUBIC	19	Q8IV50
		O60336
		Q5HYN5
		P62328
		Q9NP74
		Q8N3V7
		Q96BT7
		Q99958
		Q9BSE4
		P48668
		Q16695
		Q9ULI4
		Q8NHU0
		P02538
		O95810
		P19474
		Q9Y2F9
		P42768
		Q8IYW5
CoFrac HuRI	9	Q9UK76
		P68106
		Q8WU10
		P19237
		P35520
		P21291
		Q7Z4H3
		Q7Z794
		P09525
BioPlex3.0 HCM	107	O14654
		Q8N441
		Q8NI08
		Q8NEF9
		Q8N392
		O95677
		Q12929
		Q9H2J7
		Q15723
		Q13480
		Q6ZWE6
		Q17RY0
		Q96RQ1
		Q9Y673
		Q53H12
		P98164
		Q96EL2
		Q4KWH8
		Q86YN1
		Q8NFZ5
		Q9P266
		P52926
		Q8IZ40
		Q9Y467
		Q9UHW9
		Q6VY07
		Q14137
		P09543
		Q9H6K5
		P0DJD0
		Q9H0R6
		Q9H6S1
		Q9C0B9
		Q5K4L6
		Q9UKE5
		Q9NZ56
		Q01484
		P11137
		Q7Z3F1
		Q5VWQ0
		Q05707
		P22670
		Q9Y219
		Q86WB0
		Q5JSL3
		Q8NB50
		Q9BUP0
		O14513
		O00418
		Q8IYQ7
		Q52LW3
		P04637
		O60315
		Q5VZM2
		Q8IVL1
		Q9Y6D6
		O95453
		Q6UWZ7
		P56179
		O00512
		Q96JQ2
		A6NGC4
		P12931
		Q9NR82
		P35670
		O60271
		Q9HD45
		Q6ZVF9
		P35453
		Q12816
		Q14686
		Q9NV66
		Q9H7F0
		Q9HB21
		A6NKD9
		Q9Y2R4
		Q9NYM9
		O14683
		O00716
		Q8NDI1
		Q8NFP9
		Q8WXE0
		Q15398
		P23368
		Q12778
		A7MCY6
		Q6NUM9
		Q99676
		Q15464
		Q99504
		Q2PZI1
		Q02818
		Q9UHD2
		Q7Z401
		Q8WTV0
		P07305
		Q8TEW8
		P51957
		Q92953
		Q9NWQ8
		Q9C0B0
		Q6P444
		Q9H2E6
		Q16799
		Q8TEQ8
		Q9H4I3
		O14531
BioPlex3.0 QUBIC	159	Q92837
		Q9UJQ4
		Q9UBN7
		Q9NZ71
		Q08050
		Q08174
		Q9HD67
		P28290
		Q9H9G7
		Q9H2X6
		Q8WYB5
		Q9NWZ8
		Q13887
		Q9NR48
		Q8NEM2
		Q96QD9
		O75190
		P16401
		Q9H0X9
		Q5EE01
		Q99759
		Q9UK61
		Q00653
		P08708
		P18847
		O94988
		Q9BTV6
		P19484
		P30291
		Q8IV63
		P51955
		Q6PCD5
		Q8N726
		Q14693
		Q9NQV6
		Q09472
		P15056
		Q9HCE1
		Q96G74
		Q9UBC3
		Q5D862
		O43318
		P14384
		O60381
		O43252
		P60484
		Q9P242
		Q5TGY3
		A8MW92
		Q9NYY3
		Q9UKB1
		Q9NS56
		Q9NQ89
		P49918
		P16885
		Q5FBB7
		A6NKT7
		Q8N6T7
		Q96E09
		P53634
		Q9BSF8
		O43196
		Q96PZ2
		Q9BWF3
		Q86VQ1
		Q9HBR0
		Q9H967
		Q9UKM7
		Q9UDT6
		Q16665
		Q9BUT9
		Q9H9A7
		Q15853
		Q9H211
		Q92585
		A6NI28
		Q96QD5
		Q9H5Z1
		Q96LA8
		P20908
		O95997
		Q9BRR3
		P08729
		Q5BKY9
		Q8IU60
		P52943
		Q9NYV6
		Q9BZ72
		P18146
		Q16666
		Q9Y5A7
		Q8NE35
		O00287
		Q8WW12
		Q86W34
		Q00613
		Q8N5P1
		P29375
		Q9UHN1
		Q6UW63
		Q8NDF8
		Q8N108
		Q53H47
		O60307
		P08571
		Q9NYH9
		Q96AY2
		P09038
		O00221
		Q92750
		Q9H936
		Q5VV67
		Q5DJT8
		Q7Z3B3
		P37840
		Q9NRC8
		Q8IV48
		O15417
		Q9Y3X0
		Q9NZJ0
		Q9NQS1
		Q9UKY1
		Q9H9P8
		Q5T8I3
		O75319
		P01116
		Q9BQ48
		Q9NZI5
		Q03519
		P17010
		P02768
		Q8N556
		P18433
		P50616
		Q5TCZ1
		P08047
		Q6PGQ7
		P56730
		Q2TB10
		P02649
		Q92636
		Q96E39
		P16402
		Q9H9L4
		Q9UK39
		Q06609
		O14657
		Q8NEM7
		Q12796
		P19827
		P04632
		O15530
		Q8N884
		P17600
		Q8NC56
		Q9H9J4
		Q6PI98
		Q8TDX7
		Q00987
BioPlex3.0 CoFrac	55	P51513
		Q6P3X3
		Q9Y3E1
		Q15527
		Q9UEW3
		Q14376
		O94808
		Q9P0J7
		Q6ZN16
		Q9H1B7
		Q9Y2S6
		Q13948
		P07858
		O75663
		P04080
		P24666
		Q99720
		A6NDG6
		Q9Y6Q5
		Q6IA86
		Q9HAB8
		P0DJD1
		P51553
		Q86V21
		P13693
		P19174
		P60983
		O75164
		Q9BW30
		Q13535
		P41214
		P46926
		Q52LJ0
		Q8N1G4
		Q96C90
		O94805
		O95861
		P51649
		P36915
		Q8WWH5
		P00813
		Q9BRQ0
		O95352
		Q5T2E6
		O60911
		Q9GZL7
		Q9UKX2
		Q9BTM9
		Q9UL18
		Q9NNW7
		P18846
		Q9NPD8
		P20810
		Q05193
		Q15185
HCM QUBIC	15	P53985
		Q86UU1
		Q8IWS0
		Q96HS1
		O95319
		Q9Y6R9
		Q6IQ49
		Q9H2V7
		A8CG34
		Q92947
		Q8NFJ5
		P46977
		Q9UPQ9
		Q13151
		O75925
CoFrac HCM	3	Q9H1E3
		Q9NTK5
		O00193
CoFrac QUBIC	8	Q9P021
		Q8NE71
		P42680
		Q9UNZ5
		P52298
		P31483
		Q75N03
		O95786
HuRI	155	O95755
		P82987
		Q8IZP1
		Q8NA19
		Q8IV04
		Q7Z699
		P52954
		P78543
		Q5SQQ9
		O95500
		Q9BW04
		Q8NAV2
		Q86VK4
		A0A087X1G2
		P81133
		O95936
		Q12951
		Q9UJW9
		Q9BYE0
		P31249
		O43704
		Q9BPW4
		Q12837
		Q96QA6
		Q09FC8
		Q13145
		P0C870
		Q32M84
		Q9Y6X0
		Q04118
		Q03989
		P23771
		Q5U649
		Q96MV8
		P10451
		P17030
		P43364
		Q96J87
		P41225
		P57682
		A8MV65
		P26651
		Q9H8M9
		Q96JK9
		Q99541
		Q4G0N7
		Q8TAI7
		O60936
		Q8N1Q1
		Q96NL3
		O95050
		A1L162
		Q5TYM5
		Q969K7
		A2A2V5
		Q9C0D7
		Q9GZQ8
		P04921
		Q9HBJ8
		Q8NFW9
		P19544
		Q9NSD4
		P20592
		O60479
		O00482
		Q7RTS7
		A7MD48
		Q7Z591
		O60225
		O15393
		P02812
		Q96Q80
		Q8IZF3
		Q9BQS2
		O14669
		Q96JF0
		Q86X51
		Q99712
		Q96JY6
		Q8IXW0
		P32242
		P13646
		Q9Y6X2
		Q92835
		Q6L9T8
		Q96IZ2
		Q9NP98
		Q8IY34
		Q96MP5
		Q8N1L9
		Q9UJW7
		Q8N474
		Q9BT81
		Q7Z713
		P35900
		Q16790
		Q4LEZ3
		Q9HD64
		Q16617
		A8MQ03
		Q15735
		Q5VZ18
		Q5FWF7
		Q6AZW8
		Q68EN5
		Q9BXL5
		Q8NHR7
		Q6UWE3
		P0DMU9
		P01303
		Q8N114
		P07602
		Q96EG3
		Q969X1
		Q96R05
		Q8IYM9
		Q9Y6Y9
		Q8N4L8
		Q9H1V8
		Q6Q6R5
		P19012
		Q9H8L6
		Q9UM63
		Q96A04
		Q3SXP7
		Q3SY84
		Q9BS40
		Q8WYK2
		Q9UMD9
		Q13094
		P35125
		Q8WV24
		Q8TC57
		Q13113
		A6NHJ4
		Q8IWB6
		Q9UNA4
		Q96E93
		Q9BWW8
		Q8IYI0
		Q8IW93
		Q9BRK3
		P15172
		P43405
		O43781
		Q8NEB5
		Q6PF04
		Q5VTT5
		Q8N6D2
		Q8WY98
		Q8NDX6
		A6NK89
		Q86X60
		P23560
		O95424
BioPlex3.0	436	Q04771
		Q8WVF1
		Q92781
		Q9H2T7
		Q8NG66
		P51689
		Q96PB1
		Q8IVH2
		Q6ZN06
		Q05066
		Q14324
		P23743
		Q9UQF2
		P20265
		Q9UBD9
		Q09428
		Q9Y2E4
		Q0P6H9
		Q13796
		Q9BYJ4
		Q8IVC4
		P33241
		P02765
		P98196
		Q86VD9
		O14672
		P03372
		P35443
		P81877
		P98173
		Q6ICC9
		Q9H3Z4
		Q9Y6Q3
		P10071
		Q6JBY9
		Q49AJ0
		Q52M93
		P69891
		O95922
		Q6P589
		Q9P227
		Q8TCD5
		Q15517
		Q6ZN28
		P0DMV0
		O43493
		O75334
		Q9NPB0
		Q9H063
		P52746
		O75467
		Q8TBZ2
		Q9NVW2
		P41218
		Q9Y255
		Q4ZHG4
		Q9UPR3
		P13866
		Q969K3
		Q7Z3E1
		P55289
		Q92484
		Q8IVV7
		O75563
		O75173
		Q9NVP4
		Q8IWD4
		Q9UPA5
		Q9Y466
		Q9P016
		Q1RMZ1
		Q9H0M4
		Q07890
		P0DMU7
		Q99457
		O43306
		Q9HC84
		Q8NE18
		Q8IXN7
		O43405
		Q9UHJ6
		Q9BY49
		Q8N8Q9
		O43526
		Q9UNW9
		Q5W0Q7
		O60462
		Q96K75
		O15265
		P12036
		Q14624
		Q9H633
		Q9HC10
		P02763
		Q96A00
		Q0VG99
		Q6T4P5
		P03951
		P11277
		Q14563
		P02675
		Q9Y625
		Q9NPA1
		Q8IZL2
		P30307
		A1Z1Q3
		Q2VWP7
		Q96CS4
		Q3MJ13
		Q8IX07
		Q9Y6J8
		O75298
		P12755
		Q02045
		P0DMU8
		Q96GC6
		Q6ZMH5
		Q13402
		A6NHQ2
		Q9Y646
		Q9Y2P4
		Q9Y2E6
		Q9UKP4
		Q9HBW1
		Q9BZD6
		Q86YD3
		Q9Y4X5
		P32314
		Q2KHR2
		P25686
		Q93075
		Q8NBP5
		Q0VGE8
		Q969S8
		P14921
		O60500
		Q96AV8
		Q05925
		Q9NPH5
		Q5VXU3
		Q13950
		Q00872
		Q9BUU2
		P20930
		P01009
		Q92854
		P05111
		P0DMV2
		Q5H9S7
		P0DP91
		P61129
		Q5H8A4
		Q9UQ49
		Q9NZR2
		Q14680
		Q9NX31
		Q9UN36
		O15041
		Q96M94
		P83110
		P06401
		A8K855
		Q9H4Z2
		Q96MW7
		O60829
		P19622
		Q5U5Q3
		Q9UQ26
		Q96PX1
		Q15672
		Q3T8J9
		Q96E14
		Q9UHN6
		A6NDB9
		Q8N4F0
		P22492
		Q9NZT2
		Q9H1U4
		O14682
		Q13304
		P0CJ78
		Q9NS85
		Q8NG68
		Q5BKX6
		Q8N972
		Q9H0W7
		Q9Y693
		O75363
		O00515
		Q14190
		Q68DU8
		Q8NEZ3
		Q9Y5G2
		O75414
		P38571
		Q3KP31
		P36269
		P19652
		Q06945
		Q14435
		Q08AI8
		P07320
		Q9NUT2
		Q8N5C7
		Q9NQ25
		Q6ZSS3
		Q05195
		Q6P9F7
		Q9H9R9
		Q8NEM0
		Q12767
		A6NNL5
		O43897
		Q6XYQ8
		Q8WYK1
		Q96F81
		Q96A83
		P49746
		Q5R3F8
		Q8WY54
		Q99435
		Q13107
		Q9H013
		P01275
		O75385
		Q92563
		P32754
		Q96HI0
		Q9NY64
		Q5TC79
		Q9NZI6
		Q9HCM7
		P36402
		P10589
		Q8IYT8
		C9JLW8
		Q13093
		Q5T2W1
		Q8NFZ8
		O15547
		Q01860
		Q6R2W3
		Q2TAM9
		Q96MH6
		P57729
		Q8N9W5
		Q04725
		Q6ZN04
		P05937
		P00395
		P10828
		Q92844
		Q8N7N1
		O43435
		Q9HCE6
		Q7Z402
		Q9C0K0
		P46821
		Q99542
		Q96DU7
		Q00056
		Q6ZN17
		Q16288
		O75626
		Q8IV56
		Q9Y2T7
		Q6ZWL3
		Q96M02
		Q9NPY3
		Q15198
		Q8N883
		Q8N859
		Q9NYF0
		Q92777
		P01034
		O43524
		Q02539
		P17676
		Q86V85
		P35626
		Q9H1B5
		Q8IY85
		O94885
		Q969H0
		Q8WU67
		Q8NI17
		Q9BYD9
		O15527
		P35916
		Q9H1J7
		Q9H158
		Q9H920
		A1L020
		P17031
		A2RRD8
		Q9P2Q2
		Q9GZP0
		Q9HCQ5
		Q7L622
		P55317
		O15240
		A6NM11
		Q8TAD7
		Q8WZ73
		Q9ULM0
		P24530
		A6NDV4
		Q8IVL0
		Q5TID7
		O76095
		Q86SF2
		Q86VW2
		Q9UHG2
		Q9Y6F6
		Q6TDP4
		Q49AG3
		Q9Y227
		Q0VDG4
		O95409
		P24557
		Q8TCU6
		P51397
		Q00577
		O43462
		Q9HB09
		Q86T82
		P12643
		P49715
		Q9Y2R2
		O14746
		Q9H6L2
		Q9Y252
		P98088
		Q53S58
		P17936
		Q12968
		O14772
		Q70YC5
		Q14934
		P49703
		Q6ZRI8
		O43791
		Q7Z5Q1
		Q8N7X2
		P58166
		O75807
		P57058
		Q7L8W6
		Q5VT97
		Q9H0R4
		Q9Y657
		Q13705
		Q8NEV4
		Q8IV13
		P98177
		P15498
		P0DMV1
		Q9NVX7
		Q01094
		O75751
		O75144
		O15117
		Q7L7X3
		Q8N5B7
		P42331
		P22083
		Q8NHG8
		Q6T310
		Q02410
		Q9ULH7
		Q96FB5
		Q6UX71
		Q6QNY0
		Q96Q42
		Q9HAW0
		Q9BZB8
		Q96GP6
		Q9H116
		Q8NDZ2
		Q19T08
		Q9BSK1
		O60234
		O60260
		P32298
		P08567
		P20264
		Q14164
		Q9BT76
		Q9BXD5
		Q9Y2H9
		P28328
		Q0GE19
		Q8NBA8
		Q6ZQX7
		Q6S5L8
		P25445
		Q9NPB9
		Q9UMS5
		Q6ZV29
		Q8IYR2
		Q10571
		Q8IZ52
		Q9P2C4
		Q96H35
		Q8WX77
		Q9BYB0
		O75907
		Q9UJU2
		O15259
		Q9BRS8
		O14810
		Q5U3C3
		P08254
		Q8WXF0
		P32249
		Q96BF6
		Q9NRH2
		Q9NX62
		Q9BRB3
		Q504Q3
		Q12851
		Q8IY47
		P35568
		P48431
		O60671
		Q96A61
		Q8IYS4
		Q9BY76
		Q7L8C5
		Q6ZTU2
		P04280
		A2RUC4
		P55316
		Q86UU0
		O15162
		Q969F2
HCM	12	Q15652
		Q8WTS6
		Q6P1R3
		O15021
		Q6P4A7
		P29966
		Q16650
		Q8N594
		P31271
		Q9NYT6
		Q86YL5
		Q8NCS4
QUBIC	22	P10275
		Q53GL7
		Q9H9Q4
		Q04912
		Q5VST9
		O15403
		Q8WUX1
		Q04695
		P0CG12
		Q9BTY7
		Q9H6W3
		Q15773
		Q86YZ3
		O95049
		Q99967
		O43294
		Q9Y6Q9
		O15054
		Q9P2H5
		Q9UMS6
		P20962
		Q9P2E2
CoFrac	10	Q5VU65
		Q5TDP6
		Q9ULJ6
		P13645
		Q6EEV6
		P78330
		Q15181
		Q86UQ4
		O75191
		P06744
