,Prey_uniprot,cossim
0,A0A024RBG1Q8N884,0.12991274893283844
1,A0A087WUL8Q8N884,0.39736413955688477
2,A0A087X1G2Q8N884,0.29432862997055054
3,A0A096LP49Q8N884,0.3671700954437256
4,A0A0B4J2A2Q8N884,0.41544365882873535
5,A0A0B4J2D5Q8N884,0.2978998124599457
6,A0A0U1RQF7Q8N884,0.3426099717617035
7,A0A1B0GTR3Q8N884,0.41618990898132324
8,A0A1B0GTZ2Q8N884,0.35434260964393616
9,A0A1B0GUV7Q8N884,0.2581441402435303
10,A0AUZ9Q8N884,0.3404073715209961
11,A0AV02Q8N884,0.13330435752868652
12,A0AV96Q8N884,0.5605834722518921
13,A0AVF1Q8N884,0.2542201578617096
14,A0AVI4Q8N884,0.01832694746553898
15,A0AVK6Q8N884,0.34797203540802
16,A0AVT1Q8N884,0.5421380996704102
17,A0FGR8Q8N884,0.426624059677124
18,A0JLT2Q8N884,0.465575635433197
19,A0JNW5Q8N884,0.4343443810939789
20,A0JP26Q8N884,0.2701415419578552
21,A0M8Q6Q8N884,0.12191357463598251
22,A0MZ66Q8N884,0.3977133631706238
23,A0PG75Q8N884,0.3909042179584503
24,A0PJE2Q8N884,0.14926709234714508
25,A0PJK1Q8N884,0.22448444366455078
26,A0PJW6Q8N884,0.16920651495456696
27,A0PJW8Q8N884,0.26380276679992676
28,A0PJX0Q8N884,0.3070850968360901
29,A0PJX2Q8N884,0.23196956515312195
30,A0PJX4Q8N884,0.16270038485527039
31,A0PJX8Q8N884,0.04906821250915527
32,A0PJY2Q8N884,0.24197359383106232
33,A0PJZ3Q8N884,0.190895676612854
34,A0PK00Q8N884,0.23553049564361572
35,A0PK05Q8N884,0.18324825167655945
36,A0PK11Q8N884,0.08769553899765015
37,A1A4F0Q8N884,0.2456100732088089
38,A1A4G5Q8N884,0.28357595205307007
39,A1A4S6Q8N884,0.37419623136520386
40,A1A4Y4Q8N884,0.21739836037158966
41,A1A519Q8N884,0.45733508467674255
42,A1A580Q8N884,0.19195254147052765
43,A1A5B4Q8N884,0.11875386536121368
44,A1A5C7Q8N884,0.22460000216960907
45,A1A5D9Q8N884,0.23796109855175018
46,A1E959Q8N884,0.3186829686164856
47,A1IGU5Q8N884,0.037141986191272736
48,A1KXE4Q8N884,0.393374502658844
49,A1KZ92Q8N884,0.1160854920744896
50,A1L020Q8N884,0.27812114357948303
51,A1L0T0Q8N884,0.4270716607570648
52,A1L157Q8N884,0.17927253246307373
53,A1L162Q8N884,0.30649158358573914
54,A1L168Q8N884,0.3641926944255829
55,A1L170Q8N884,0.5474504232406616
56,A1L188Q8N884,0.1545572131872177
57,A1L190Q8N884,0.341488778591156
58,A1L390Q8N884,0.37798452377319336
59,A1L3X0Q8N884,0.2023250162601471
60,A1L443Q8N884,0.37564054131507874
61,A1L4H1Q8N884,0.3515549600124359
62,A1L4K1Q8N884,0.4932746887207031
63,A1L4L8Q8N884,0.27740952372550964
64,A1X283Q8N884,0.38237375020980835
65,A1XBS5Q8N884,0.3366352617740631
66,A1YPR0Q8N884,0.46388450264930725
67,A1Z1Q3Q8N884,0.24513952434062958
68,A2A2V5Q8N884,0.21325044333934784
69,A2A2Y4Q8N884,0.2956450283527374
70,A2A368Q8N884,0.13463738560676575
71,A2A3K4Q8N884,0.2584064304828644
72,A2A3N6Q8N884,0.46797341108322144
73,A2AJT9Q8N884,0.2615118622779846
74,A2IDD5Q8N884,0.05065186694264412
75,A2RRD8Q8N884,0.39761659502983093
76,A2RRH5Q8N884,0.18631570041179657
77,A2RRL7Q8N884,0.14912547171115875
78,A2RRP1Q8N884,0.33443689346313477
79,A2RTX5Q8N884,0.3034965395927429
80,A2RTY3Q8N884,0.19890165328979492
81,A2RU14Q8N884,0.26551276445388794
82,A2RU30Q8N884,0.2916880249977112
83,A2RU37Q8N884,0.3637469410896301
84,A2RU48Q8N884,0.08619211614131927
85,A2RU49Q8N884,0.30585312843322754
86,A2RU67Q8N884,0.3034090995788574
87,A2RUB1Q8N884,0.2914641499519348
88,A2RUB6Q8N884,0.36674249172210693
89,A2RUC4Q8N884,0.36952847242355347
90,A2RUG3Q8N884,0.0931982696056366
91,A2RUH7Q8N884,0.20388194918632507
92,A2RUQ5Q8N884,0.1479949951171875
93,A2RUS2Q8N884,0.178842693567276
94,A2RUT3Q8N884,0.12504270672798157
95,A2RUU4Q8N884,0.26806679368019104
96,A2VCK2Q8N884,0.17297236621379852
97,A2VDF0Q8N884,0.2022884339094162
98,A2VDJ0Q8N884,0.29672056436538696
99,A3KMH1Q8N884,0.3263286054134369
100,A3KN83Q8N884,0.5247306823730469
101,A4D0S4Q8N884,0.1411862075328827
102,A4D161Q8N884,0.26956111192703247
103,A4D1E9Q8N884,0.5295122861862183
104,A4D1P6Q8N884,0.47221827507019043
105,A4D1S0Q8N884,0.42324385046958923
106,A4D1S5Q8N884,0.04269453510642052
107,A4D1T9Q8N884,0.3258074223995209
108,A4D1U4Q8N884,0.23892486095428467
109,A4D2B0Q8N884,0.19162502884864807
110,A4D2G3Q8N884,0.10022594779729843
111,A4D2P6Q8N884,0.15089142322540283
112,A4FU01Q8N884,0.18664520978927612
113,A4FU69Q8N884,0.4027040898799896
114,A4GXA9Q8N884,0.1602427065372467
115,A4QMS7Q8N884,0.1287192404270172
116,A4QPH2Q8N884,0.4499107301235199
117,A4UGR9Q8N884,0.42137065529823303
118,A5A3E0Q8N884,0.37482672929763794
119,A5D8T8Q8N884,0.09916587173938751
120,A5D8V6Q8N884,0.38932308554649353
121,A5D8V7Q8N884,0.3130751848220825
122,A5D8W1Q8N884,0.18922239542007446
123,A5LHX3Q8N884,0.3449999690055847
124,A5PL33Q8N884,0.3365077078342438
125,A5PLL7Q8N884,0.09688876569271088
126,A5PLN9Q8N884,0.3831462860107422
127,A5X5Y0Q8N884,0.02207808569073677
128,A5YKK6Q8N884,0.44260120391845703
129,A5YM69Q8N884,0.259366512298584
130,A6BM72Q8N884,0.22525174915790558
131,A6H8M9Q8N884,0.0913873165845871
132,A6H8Y1Q8N884,0.5325607061386108
133,A6H8Z2Q8N884,0.28885558247566223
134,A6NC42Q8N884,0.14447519183158875
135,A6NC98Q8N884,0.37658965587615967
136,A6NCE7Q8N884,0.2121151238679886
137,A6NCF5Q8N884,0.14159511029720306
138,A6NCL1Q8N884,0.166416198015213
139,A6NCL7Q8N884,0.08597145974636078
140,A6NCN2Q8N884,0.23340460658073425
141,A6NCS6Q8N884,0.14398041367530823
142,A6ND36Q8N884,0.2961115837097168
143,A6ND48Q8N884,0.03238531947135925
144,A6ND91Q8N884,0.4906765818595886
145,A6NDB9Q8N884,0.1420907825231552
146,A6NDG6Q8N884,0.127009779214859
147,A6NDK9Q8N884,0.14012882113456726
148,A6NDN3Q8N884,0.13857793807983398
149,A6NDP7Q8N884,0.24146310985088348
150,A6NDS4Q8N884,0.314436137676239
151,A6NDU8Q8N884,0.2252698391675949
152,A6NDV4Q8N884,0.02730705961585045
153,A6NDY0Q8N884,0.44671422243118286
154,A6NE02Q8N884,0.21666041016578674
155,A6NE82Q8N884,0.038080573081970215
156,A6NED2Q8N884,0.3342639207839966
157,A6NEL2Q8N884,0.32944995164871216
158,A6NEM1Q8N884,0.41732296347618103
159,A6NEQ0Q8N884,0.2991124987602234
160,A6NER0Q8N884,0.047949980944395065
161,A6NER3Q8N884,0.16777808964252472
162,A6NFD8Q8N884,0.21748486161231995
163,A6NFI3Q8N884,0.4707731306552887
164,A6NFN3Q8N884,0.359624445438385
165,A6NFQ2Q8N884,0.1834912747144699
166,A6NFU0Q8N884,0.20098991692066193
167,A6NFY4Q8N884,0.0051241652108728886
168,A6NFY7Q8N884,0.24483159184455872
169,A6NGB9Q8N884,0.38505691289901733
170,A6NGC4Q8N884,0.11615502834320068
171,A6NGK3Q8N884,0.175013467669487
172,A6NGQ2Q8N884,0.3518008589744568
173,A6NGR9Q8N884,0.18421661853790283
174,A6NGS2Q8N884,0.09342321753501892
175,A6NGU5Q8N884,0.1289742887020111
176,A6NH52Q8N884,0.13848868012428284
177,A6NHC0Q8N884,0.47531089186668396
178,A6NHJ4Q8N884,0.07005549222230911
179,A6NHL2Q8N884,0.30446702241897583
180,A6NHP3Q8N884,0.2800906002521515
181,A6NHQ2Q8N884,0.4731827676296234
