,Prey_uniprot,cossim
0,A0A024RBG1Q9HBD1,0.1828179508447647
1,A0A087WUL8Q9HBD1,0.4844614565372467
2,A0A087X1G2Q9HBD1,0.36993271112442017
3,A0A096LP49Q9HBD1,0.616195797920227
4,A0A0B4J2A2Q9HBD1,0.2809063494205475
5,A0A0B4J2D5Q9HBD1,0.394656777381897
6,A0A0U1RQF7Q9HBD1,0.4200107455253601
7,A0A1B0GTR3Q9HBD1,0.42509618401527405
8,A0A1B0GTZ2Q9HBD1,0.6028207540512085
9,A0A1B0GUV7Q9HBD1,0.31847018003463745
10,A0AUZ9Q9HBD1,0.29224640130996704
11,A0AV02Q9HBD1,0.2017364203929901
12,A0AV96Q9HBD1,0.6712201833724976
13,A0AVF1Q9HBD1,0.34848231077194214
14,A0AVI4Q9HBD1,0.02702302113175392
15,A0AVK6Q9HBD1,0.4269382059574127
16,A0AVT1Q9HBD1,0.5005174875259399
17,A0FGR8Q9HBD1,0.5290401577949524
18,A0JLT2Q9HBD1,0.6547048687934875
19,A0JNW5Q9HBD1,0.6498235464096069
20,A0JP26Q9HBD1,0.26855039596557617
21,A0M8Q6Q9HBD1,0.1573946475982666
22,A0MZ66Q9HBD1,0.654786229133606
23,A0PG75Q9HBD1,0.46593546867370605
24,A0PJE2Q9HBD1,0.20585668087005615
25,A0PJK1Q9HBD1,0.43107518553733826
26,A0PJW6Q9HBD1,0.1869755983352661
27,A0PJW8Q9HBD1,0.477872371673584
28,A0PJX0Q9HBD1,0.36837881803512573
29,A0PJX2Q9HBD1,0.22946515679359436
30,A0PJX4Q9HBD1,0.2030257284641266
31,A0PJX8Q9HBD1,0.05144423246383667
32,A0PJY2Q9HBD1,0.5279871225357056
33,A0PJZ3Q9HBD1,0.12486859411001205
34,A0PK00Q9HBD1,0.35408586263656616
35,A0PK05Q9HBD1,0.17557327449321747
36,A0PK11Q9HBD1,0.0364774726331234
37,A1A4F0Q9HBD1,0.3309728503227234
38,A1A4G5Q9HBD1,0.22716327011585236
39,A1A4S6Q9HBD1,0.34617215394973755
40,A1A4Y4Q9HBD1,0.39459043741226196
41,A1A519Q9HBD1,0.5509110689163208
42,A1A580Q9HBD1,0.380424439907074
43,A1A5B4Q9HBD1,0.28641626238822937
44,A1A5C7Q9HBD1,0.29351577162742615
45,A1A5D9Q9HBD1,0.30928462743759155
46,A1E959Q9HBD1,0.6063264608383179
47,A1IGU5Q9HBD1,0.13849225640296936
48,A1KXE4Q9HBD1,0.6544790267944336
49,A1KZ92Q9HBD1,0.29875850677490234
50,A1L020Q9HBD1,0.4320859909057617
51,A1L0T0Q9HBD1,0.5650337338447571
52,A1L157Q9HBD1,0.15328432619571686
53,A1L162Q9HBD1,0.4118071496486664
54,A1L168Q9HBD1,0.5681936144828796
55,A1L170Q9HBD1,0.6224099397659302
56,A1L188Q9HBD1,0.2174312323331833
57,A1L190Q9HBD1,0.5677925944328308
58,A1L390Q9HBD1,0.4560682773590088
59,A1L3X0Q9HBD1,0.26597386598587036
60,A1L443Q9HBD1,0.62681645154953
61,A1L4H1Q9HBD1,0.5268155932426453
62,A1L4K1Q9HBD1,0.6824089884757996
63,A1L4L8Q9HBD1,0.298246294260025
64,A1X283Q9HBD1,0.5964157581329346
65,A1XBS5Q9HBD1,0.38554590940475464
66,A1YPR0Q9HBD1,0.6023863554000854
67,A1Z1Q3Q9HBD1,0.2836754620075226
68,A2A2V5Q9HBD1,0.25487831234931946
69,A2A2Y4Q9HBD1,0.3350576162338257
70,A2A368Q9HBD1,0.17114970088005066
71,A2A3K4Q9HBD1,0.3748445212841034
72,A2A3N6Q9HBD1,0.5362310409545898
73,A2AJT9Q9HBD1,0.38790032267570496
74,A2IDD5Q9HBD1,0.04616107791662216
75,A2RRD8Q9HBD1,0.4607160985469818
76,A2RRH5Q9HBD1,0.14707285165786743
77,A2RRL7Q9HBD1,0.188616544008255
78,A2RRP1Q9HBD1,0.3897509276866913
79,A2RTX5Q9HBD1,0.26031893491744995
80,A2RTY3Q9HBD1,0.2722516655921936
81,A2RU14Q9HBD1,0.2973438799381256
82,A2RU30Q9HBD1,0.3028230667114258
83,A2RU37Q9HBD1,0.35348019003868103
84,A2RU48Q9HBD1,0.28212660551071167
85,A2RU49Q9HBD1,0.38812893629074097
86,A2RU67Q9HBD1,0.4037145674228668
87,A2RUB1Q9HBD1,0.2912060618400574
88,A2RUB6Q9HBD1,0.49130481481552124
89,A2RUC4Q9HBD1,0.4723239839076996
90,A2RUG3Q9HBD1,0.2030724585056305
91,A2RUH7Q9HBD1,0.20953306555747986
92,A2RUQ5Q9HBD1,0.16804130375385284
93,A2RUS2Q9HBD1,0.1701013147830963
94,A2RUT3Q9HBD1,0.06064411252737045
95,A2RUU4Q9HBD1,0.19240863621234894
96,A2VCK2Q9HBD1,0.40224671363830566
97,A2VDF0Q9HBD1,0.3483518958091736
98,A2VDJ0Q9HBD1,0.327963262796402
99,A3KMH1Q9HBD1,0.3897598683834076
100,A3KN83Q9HBD1,0.6812446713447571
101,A4D0S4Q9HBD1,0.184179425239563
102,A4D161Q9HBD1,0.48226529359817505
103,A4D1E9Q9HBD1,0.5932084321975708
104,A4D1P6Q9HBD1,0.5261785387992859
105,A4D1S0Q9HBD1,0.508988082408905
106,A4D1S5Q9HBD1,0.16125769913196564
107,A4D1T9Q9HBD1,0.32652193307876587
108,A4D1U4Q9HBD1,0.2858664095401764
109,A4D2B0Q9HBD1,0.26925474405288696
110,A4D2G3Q9HBD1,0.052364595234394073
111,A4D2P6Q9HBD1,0.16449472308158875
112,A4FU01Q9HBD1,0.365907222032547
113,A4FU69Q9HBD1,0.3932252526283264
114,A4GXA9Q9HBD1,0.18600347638130188
115,A4QMS7Q9HBD1,0.34064167737960815
116,A4QPH2Q9HBD1,0.5122694373130798
117,A4UGR9Q9HBD1,0.4355623722076416
118,A5A3E0Q9HBD1,0.4386032521724701
119,A5D8T8Q9HBD1,0.16490218043327332
120,A5D8V6Q9HBD1,0.6590248942375183
121,A5D8V7Q9HBD1,0.4653700888156891
122,A5D8W1Q9HBD1,0.3741360306739807
123,A5LHX3Q9HBD1,0.4488745331764221
124,A5PL33Q9HBD1,0.48078450560569763
125,A5PLL7Q9HBD1,0.10658885538578033
126,A5PLN9Q9HBD1,0.47931838035583496
127,A5X5Y0Q9HBD1,0.04603422433137894
128,A5YKK6Q9HBD1,0.7382243871688843
129,A5YM69Q9HBD1,0.2587319314479828
130,A6BM72Q9HBD1,0.28943485021591187
131,A6H8M9Q9HBD1,0.03259871155023575
132,A6H8Y1Q9HBD1,0.56497722864151
133,A6H8Z2Q9HBD1,0.5086566209793091
134,A6NC42Q9HBD1,0.33036142587661743
135,A6NC98Q9HBD1,0.5677958726882935
136,A6NCE7Q9HBD1,0.29301509261131287
137,A6NCF5Q9HBD1,0.04941907152533531
138,A6NCL1Q9HBD1,0.17082741856575012
139,A6NCL7Q9HBD1,0.09340536594390869
140,A6NCN2Q9HBD1,0.34601515531539917
141,A6NCS6Q9HBD1,0.10492654889822006
142,A6ND36Q9HBD1,0.4815482199192047
143,A6ND48Q9HBD1,0.0834832489490509
144,A6ND91Q9HBD1,0.482562780380249
145,A6NDB9Q9HBD1,0.11037192493677139
146,A6NDG6Q9HBD1,0.25075235962867737
147,A6NDK9Q9HBD1,0.29735124111175537
148,A6NDN3Q9HBD1,0.28978613018989563
149,A6NDP7Q9HBD1,0.3575226664543152
150,A6NDS4Q9HBD1,0.5348131060600281
151,A6NDU8Q9HBD1,0.2180197536945343
152,A6NDV4Q9HBD1,0.019779901951551437
153,A6NDY0Q9HBD1,0.5804158449172974
154,A6NE02Q9HBD1,0.257484495639801
155,A6NE82Q9HBD1,0.13186143338680267
156,A6NED2Q9HBD1,0.5074546337127686
157,A6NEL2Q9HBD1,0.41800132393836975
158,A6NEM1Q9HBD1,0.6404640078544617
159,A6NEQ0Q9HBD1,0.3985879719257355
160,A6NER0Q9HBD1,0.06512624025344849
161,A6NER3Q9HBD1,0.256026953458786
162,A6NFD8Q9HBD1,0.4720606207847595
163,A6NFI3Q9HBD1,0.5681592226028442
164,A6NFN3Q9HBD1,0.41081446409225464
165,A6NFQ2Q9HBD1,0.1795838177204132
166,A6NFU0Q9HBD1,0.2230772227048874
167,A6NFY4Q9HBD1,0.03868214040994644
168,A6NFY7Q9HBD1,0.2679722309112549
169,A6NGB9Q9HBD1,0.5810930132865906
170,A6NGC4Q9HBD1,0.16058960556983948
171,A6NGK3Q9HBD1,0.2491142451763153
172,A6NGQ2Q9HBD1,0.5051968097686768
173,A6NGR9Q9HBD1,0.1755070835351944
174,A6NGS2Q9HBD1,0.19286921620368958
175,A6NGU5Q9HBD1,0.0566522479057312
176,A6NH52Q9HBD1,0.2655445635318756
177,A6NHC0Q9HBD1,0.4123513698577881
178,A6NHJ4Q9HBD1,0.22592881321907043
179,A6NHL2Q9HBD1,0.1503349393606186
