,Prey_uniprot,cossim
0,A0A024RBG1Q9NP73,0.21503058075904846
1,A0A087WUL8Q9NP73,0.4236047863960266
2,A0A087X1G2Q9NP73,0.4259916841983795
3,A0A096LP49Q9NP73,0.6009212136268616
4,A0A0B4J2A2Q9NP73,0.26261192560195923
5,A0A0B4J2D5Q9NP73,0.30803728103637695
6,A0A0U1RQF7Q9NP73,0.41081205010414124
7,A0A1B0GTR3Q9NP73,0.46170109510421753
8,A0A1B0GTZ2Q9NP73,0.5938236713409424
9,A0A1B0GUV7Q9NP73,0.36547988653182983
10,A0AUZ9Q9NP73,0.32964062690734863
11,A0AV02Q9NP73,0.09146536886692047
12,A0AV96Q9NP73,0.6553317308425903
13,A0AVF1Q9NP73,0.31500592827796936
14,A0AVI4Q9NP73,0.0
15,A0AVK6Q9NP73,0.4074503779411316
16,A0AVT1Q9NP73,0.4173237681388855
17,A0FGR8Q9NP73,0.3857714533805847
18,A0JLT2Q9NP73,0.6377962827682495
19,A0JNW5Q9NP73,0.5517498254776001
20,A0JP26Q9NP73,0.21177275478839874
21,A0M8Q6Q9NP73,0.1233372688293457
22,A0MZ66Q9NP73,0.5009447336196899
23,A0PG75Q9NP73,0.4532279372215271
24,A0PJE2Q9NP73,0.1171327605843544
25,A0PJK1Q9NP73,0.4204172194004059
26,A0PJW6Q9NP73,0.09436444938182831
27,A0PJW8Q9NP73,0.49063611030578613
28,A0PJX0Q9NP73,0.2986118197441101
29,A0PJX2Q9NP73,0.16154003143310547
30,A0PJX4Q9NP73,0.15281303226947784
31,A0PJX8Q9NP73,0.0016989477444440126
32,A0PJY2Q9NP73,0.4550923705101013
33,A0PJZ3Q9NP73,0.06928671896457672
34,A0PK00Q9NP73,0.22724807262420654
35,A0PK05Q9NP73,0.1472819447517395
36,A0PK11Q9NP73,0.026476049795746803
37,A1A4F0Q9NP73,0.26063013076782227
38,A1A4G5Q9NP73,0.20590710639953613
39,A1A4S6Q9NP73,0.3097691535949707
40,A1A4Y4Q9NP73,0.32784485816955566
41,A1A519Q9NP73,0.5464057922363281
42,A1A580Q9NP73,0.35144805908203125
43,A1A5B4Q9NP73,0.2645379900932312
44,A1A5C7Q9NP73,0.19265618920326233
45,A1A5D9Q9NP73,0.31701260805130005
46,A1E959Q9NP73,0.6356954574584961
47,A1IGU5Q9NP73,0.06030704826116562
48,A1KXE4Q9NP73,0.6927832365036011
49,A1KZ92Q9NP73,0.15056975185871124
50,A1L020Q9NP73,0.418895959854126
51,A1L0T0Q9NP73,0.41991859674453735
52,A1L157Q9NP73,0.05962816998362541
53,A1L162Q9NP73,0.4412056803703308
54,A1L168Q9NP73,0.5438109636306763
55,A1L170Q9NP73,0.5442237854003906
56,A1L188Q9NP73,0.11160514503717422
57,A1L190Q9NP73,0.4902971386909485
58,A1L390Q9NP73,0.3501489460468292
59,A1L3X0Q9NP73,0.1825360357761383
60,A1L443Q9NP73,0.6594009399414062
61,A1L4H1Q9NP73,0.4974619448184967
62,A1L4K1Q9NP73,0.572154700756073
63,A1L4L8Q9NP73,0.20886275172233582
64,A1X283Q9NP73,0.514068603515625
65,A1XBS5Q9NP73,0.340112566947937
66,A1YPR0Q9NP73,0.52705317735672
67,A1Z1Q3Q9NP73,0.2295028418302536
68,A2A2V5Q9NP73,0.12569253146648407
69,A2A2Y4Q9NP73,0.2631009817123413
70,A2A368Q9NP73,0.12002472579479218
71,A2A3K4Q9NP73,0.2573326528072357
72,A2A3N6Q9NP73,0.4727891981601715
73,A2AJT9Q9NP73,0.495150089263916
74,A2IDD5Q9NP73,0.07478634268045425
75,A2RRD8Q9NP73,0.40856194496154785
