,Prey_uniprot,cossim
0,A0A024RBG1A0AV96,0.22296325862407684
1,A0A087WUL8A0AV96,0.5097004175186157
2,A0A087X1G2A0AV96,0.2715073227882385
3,A0A096LP49A0AV96,0.5943564176559448
4,A0A0B4J2A2A0AV96,0.308217853307724
5,A0A0B4J2D5A0AV96,0.4163169860839844
6,A0A0U1RQF7A0AV96,0.45359063148498535
7,A0A1B0GTR3A0AV96,0.4520213007926941
8,A0A1B0GTZ2A0AV96,0.6645845174789429
9,A0A1B0GUV7A0AV96,0.3636547923088074
10,A0AUZ9A0AV96,0.3655785322189331
11,A0AV02A0AV96,0.23492291569709778
12,A0AV96A0AVF1,0.30585652589797974
13,A0AV96A0AVI4,0.0
14,A0AV96A0AVK6,0.5916476249694824
15,A0AV96A0AVT1,0.4430580735206604
16,A0AV96A0FGR8,0.4348839819431305
17,A0AV96A0JLT2,0.6762624979019165
18,A0AV96A0JNW5,0.5761318802833557
19,A0AV96A0JP26,0.253123939037323
20,A0AV96A0M8Q6,0.19364486634731293
21,A0AV96A0MZ66,0.6290175914764404
22,A0AV96A0PG75,0.4128574728965759
23,A0AV96A0PJE2,0.1142706647515297
24,A0AV96A0PJK1,0.3877541124820709
25,A0AV96A0PJW6,0.1039840579032898
26,A0AV96A0PJW8,0.4741675853729248
27,A0AV96A0PJX0,0.4452802240848541
28,A0AV96A0PJX2,0.18078556656837463
29,A0AV96A0PJX4,0.257379949092865
30,A0AV96A0PJX8,0.0077310786582529545
31,A0AV96A0PJY2,0.4781419336795807
32,A0AV96A0PJZ3,0.09403403848409653
33,A0AV96A0PK00,0.26736441254615784
34,A0AV96A0PK05,0.18379074335098267
35,A0AV96A0PK11,0.029439235106110573
36,A0AV96A1A4F0,0.43039941787719727
37,A0AV96A1A4G5,0.23769637942314148
38,A0AV96A1A4S6,0.4140810966491699
39,A0AV96A1A4Y4,0.3940851092338562
40,A0AV96A1A519,0.6015360355377197
41,A0AV96A1A580,0.4291718006134033
42,A0AV96A1A5B4,0.15231133997440338
43,A0AV96A1A5C7,0.28218090534210205
44,A0AV96A1A5D9,0.2569170892238617
45,A0AV96A1E959,0.6322568655014038
46,A0AV96A1IGU5,0.1308528333902359
47,A0AV96A1KXE4,0.7820622324943542
48,A0AV96A1KZ92,0.176336407661438
49,A0AV96A1L020,0.47880569100379944
50,A0AV96A1L0T0,0.45931991934776306
51,A0AV96A1L157,0.08550973236560822
52,A0AV96A1L162,0.42733508348464966
53,A0AV96A1L168,0.6079502105712891
54,A0AV96A1L170,0.5800589323043823
55,A0AV96A1L188,0.13643702864646912
56,A0AV96A1L190,0.5422555208206177
57,A0AV96A1L390,0.40503525733947754
58,A0AV96A1L3X0,0.2614263594150543
59,A0AV96A1L443,0.6971688270568848
60,A0AV96A1L4H1,0.5391013622283936
61,A0AV96A1L4K1,0.5689117908477783
62,A0AV96A1L4L8,0.2536833584308624
63,A0AV96A1X283,0.547719419002533
64,A0AV96A1XBS5,0.35651639103889465
65,A0AV96A1YPR0,0.6173872947692871
66,A0AV96A1Z1Q3,0.250139445066452
67,A0AV96A2A2V5,0.16211113333702087
68,A0AV96A2A2Y4,0.32611170411109924
69,A0AV96A2A368,0.3300880491733551
70,A0AV96A2A3K4,0.41685980558395386
71,A0AV96A2A3N6,0.5070513486862183
72,A0AV96A2AJT9,0.4822993874549866
73,A0AV96A2IDD5,0.10132312774658203
74,A0AV96A2RRD8,0.3753635883331299
75,A0AV96A2RRH5,0.08677007257938385
76,A0AV96A2RRL7,0.16189323365688324
77,A0AV96A2RRP1,0.29692062735557556
78,A0AV96A2RTX5,0.3014630377292633
79,A0AV96A2RTY3,0.24756141006946564
80,A0AV96A2RU14,0.2088642567396164
81,A0AV96A2RU30,0.3548929691314697
82,A0AV96A2RU37,0.37483149766921997
