Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
21,268,0.2010,7191,7294,0.4787,0.00000,"Q6ZN55 Q53T94 P62829 O43159 Q9BRU9 P61313 Q68D10 Q75WM6 O15479 Q9GZL7 Q13610 P60866 P27635 P18077 Q8WYQ5 Q6NSZ9 Q9ULW3 Q9NZM5 O00541 Q13574 P46781 P42696 P61513 Q9Y3U8 P46779 P62277 Q96MF4 Q9NR30 O75607 Q9NRW3 Q07020 P40429 Q02539 P50914 O75569 P05388 Q96FI4 P39023 Q9GZR2 P26373 Q08170 P62888 P35268 P62424 O43818 P62917 P42766 Q13247 P78362 Q9HCE1 P11940 Q8TDD1 P62913 Q9BSG1 Q9HAN9 O15213 P51608 Q9NX58 P62241 P79522 P63220 Q03188 Q9P2D0 Q9NQV6 Q1ED39 Q9BQG0 Q9H0A0 Q99848 Q76FK4 Q96ME7 Q13206 Q12788 Q9UNX4 Q13823 Q14692 Q15050 O76021 Q9Y2X3 Q5SSJ5 Q5VWQ0 Q8N9T8 Q9BYG3 Q49A26 Q8NI36 Q99676 O60765 P46087 O96028 Q9BVJ6 O15381 P49711 Q9Y3T9 Q5JTH9 Q8TDN6 Q00839 Q9BWF3 P62899 P62847 P62753 P06748 Q6ZN17 P61247 P62249 P39019 P84098 P23396 Q92913 P0C0S8 P15880 P36578 Q9Y2T7 Q4G0J3 P16401 P16402 Q9H9Z2 Q7Z2W4 O60287 P62906 Q9UNX3 Q9UJV8 P0C5Z0 Q9P031 Q12906 Q6P158 P08708 P46776 P46778 Q02543 Q15397 Q96GQ7 Q9P2E9 Q9Y221 P67809 Q9UPE1 P32969 Q96MX3 P46777 Q02878 P49207 P62244 P62266 P62263 O60832 Q9NW13 Q9NY93 Q9BSC4 Q03701 Q9NVP1 Q9BZE4 O95625 Q14690 Q9H0S4 Q9NVU7 Q9GZR7 Q8WTT2 P18621 P62701 P42677 Q9H8H2 Q8NB50 A4D1E9 Q96LZ2 Q8IY81 Q8NDF8 P60228 Q14152 Q86V59 Q13435 P62854 Q2TB10 Q15361 Q53GS7 O76094 Q96K58 Q9Y4C8 Q15269 Q96FK6 Q96H22 Q969Q0 P37108 P62851 Q15573 Q15572 Q15477 Q14146 O75533 Q71F23 P61254 P62081 P46782 P05387 O95793 Q96HE9 P30050 P22492 Q9H116 P17026 P10412 Q6IQ21 P62750 Q13243 Q9NUL3 Q9NUD5 P78563 Q96IR2 Q9H5J8 P16403 Q9BRT6 Q8TBF4 O95478 Q9Y3C1 Q8N5P1 P05386 Q6PK04 P46783 Q9H6F5 Q9NW07 Q9H6S0 O75683 P62841 Q13601 P62910 Q9H6R4 Q9UII4 P57071 Q9H7B2 Q00577 Q8N8A6 Q9NQ55 Q96G21 Q9BXY0 P18124 P08865 P17097 Q8IUE6 Q5VYS8 Q14512 Q15646 P11487 P62280 P16989 Q7L3S4 P55075 Q9BQ75 P61353 P62891 Q6DKI1 Q92901 Q96GM8 O00566 O75820 P63173 P25398 P83731 Q8IZA3 Q2Q1W2 P62633 Q9H9Y2 P47914 Q12849 Q9UKD2 Q9NY61 P62269 P62861 Q96L21 Q5JNZ5 P62273 Q9H4Z2"
22,43,0.2663,240.5,1499,0.1317,0.999953,"O14653 Q86Y82 Q9UNK0 P61266 O15155 O75379 Q9H115 Q13190 Q13277 O95183 O75396 Q9UEU0 Q16623 P20338 Q9NRW7 Q12981 O95721 Q9P2W9 O75558 Q9UL45 Q6NUQ1 Q99747 Q9BV40 Q9NZ43 P32856 Q8WVM8 Q8N6Q1 O43264 A2RRP1 Q5SQN1 P54920 O95249 O60499 Q8N4C7 O14662 Q8WU76 Q96AJ9 P51809 Q5QGZ9 Q8NFX7 Q5T5C0 O60347 Q9Y2K9"
23,6,0.3015,4.522,79.49,0.04710,0.997463,"P62805 P17677 Q8NCD3 Q9NY74 P84996 Q149N8"
24,7,0.3002,6.303,148.4,0.03737,0.920068,"P25800 Q9NQX0 Q8IYX8 P51523 Q7Z591 Q6ZN30 Q8IY47"
25,3,0.4024,1.207,9.440,0.07251,0.808633,"Q9UPZ6 Q9Y5Y7 Q86WI0"
26,41,0.2489,204.1,788.2,0.1900,0.999395,"P62826 Q8NFH5 P63279 P55735 P18754 P61769 Q9BW19 P49790 Q14974 P49792 P57740 Q5SRE5 Q69YH5 P0DJD0 P52948 P78406 Q9NRG9 Q9BVL2 O75694 Q99567 Q92621 Q9BW27 Q8N1F7 P61956 Q9P0U3 Q12769 Q8WUM0 Q96SK2 A8CG34 O14715 E9PJ23 Q8NFH3 P35658 Q9BXS6 P46060 Q8TEM1 Q96EE3 Q8NFH4 Q96JE7 Q8NDM7 Q96S15"
27,5,0.3232,3.232,29.22,0.07613,0.952654,"P35609 P28222 O95059 Q8IY33 Q9H987"
28,5,0.3306,3.306,39.57,0.06253,0.996692,"Q9NZI7 Q8TDR2 Q12800 Q9NX57 P13995"
29,16,0.2830,33.96,166.2,0.1463,0.896630,"P11137 P13861 Q9P0M2 O43687 P31323 P22694 P10644 Q8N6U8 P17612 P24588 Q86UN6 Q9BSF0 Q15506 P22612 Q96C74 Q5H9R4"
30,10,0.3105,13.97,422.8,0.03059,0.998195,"Q7Z4V5 P27695 P83916 Q96JM3 O75475 P51858 Q5VZL5 Q13029 Q96ST2 Q9C0B2"
