Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
RICTOR,Q6R327,Q2TAY7,35973513,SMU1,0.5759484767913811,0.635524630546569,0.07181595265865301,0.06666016578674301,0.4684816300868988
RICTOR,Q6R327,P39060,35973513,COL18A1,0.5759484767913811,0.635524630546569,0.812793612480163,0.625920534133911,0.40468889474868774
RICTOR,Q6R327,Q16513,35973513,PKN2,0.5759484767913811,0.635524630546569,0.7890360951423641,0.914183259010314,0.5755106806755066
RICTOR,Q6R327,P15622,35973513,ZNF250,0.5759484767913811,0.635524630546569,0.184368908405303,0.598052144050598,0.4729521870613098
RICTOR,Q6R327,Q7Z7F7,35973513,MRPL55,0.5759484767913811,0.635524630546569,0.046292949467897006,0.19159661233425102,0.46034306287765503
RICTOR,Q6R327,Q7L014,35973513,DDX46,0.5759484767913811,0.635524630546569,0.8441314697265621,0.8243056535720821,0.5442825555801392
RICTOR,Q6R327,O14640,35973513,DVL1,0.5759484767913811,0.635524630546569,0.836085975170135,0.736067175865173,0.5248833894729614
RICTOR,Q6R327,P09874,35973513,PARP1,0.5759484767913811,0.635524630546569,0.8500396013259881,0.9057420492172241,0.5878781080245972
RICTOR,Q6R327,Q9BPZ7,35973513,MAPKAP1,0.5759484767913811,0.635524630546569,0.48449450731277405,0.833181858062744,0.47972989082336426
RICTOR,Q6R327,Q8WTR7,35973513,ZNF473,0.5759484767913811,0.635524630546569,0.050204616039991004,0.34169578552246005,0.339133620262146
RICTOR,Q6R327,Q13765,35973513,NACA,0.5759484767913811,0.635524630546569,0.054367274045944006,0.504813194274902,0.3004876971244812
RICTOR,Q6R327,O43143,35973513,DHX15,0.5759484767913811,0.635524630546569,0.5230384469032281,0.49100860953330905,0.3984968066215515
RICTOR,Q6R327,O14802,35973513,POLR3A,0.5759484767913811,0.635524630546569,0.06119469553232101,0.26752144098281805,0.4880495071411133
RICTOR,Q6R327,Q14739,35973513,LBR,0.5759484767913811,0.635524630546569,0.418950408697128,0.33437868952751104,0.5254367589950562
RICTOR,Q6R327,Q92900,35973513,UPF1,0.5759484767913811,0.635524630546569,0.747238278388977,0.7646963596343991,0.522169291973114
RICTOR,Q6R327,P50502,35973513,ST13,0.5759484767913811,0.635524630546569,0.8200780749320981,0.906903624534606,0.4422769546508789
RICTOR,Q6R327,P55196,35973513,AFDN,0.5759484767913811,0.635524630546569,0.9149237871170041,0.90687608718872,0.623152494430542
