Bait Gene,Bait_uniprot,Prey_uniprot,article,Prey Gene,Bait_SaPS-10fea,Bait_PdPS-10fea,Prey_SaPS-10fea,Prey_PdPS-10fea,cos.sim
HSPA13,P48723,P62269,36244454,RPS18,0.050795398652553,0.262421786785125,0.403224408626556,0.573610007762908,0.3554587960243225
HSPA13,P48723,O43684,36244454,BUB3,0.050795398652553,0.262421786785125,0.374361425638198,0.7024703025817871,0.3778727650642395
HSPA13,P48723,P23921,36244454,RRM1,0.050795398652553,0.262421786785125,0.35580030083656305,0.8009147644042961,0.24273741245269775
HSPA13,P48723,P55081,36244454,MFAP1,0.050795398652553,0.262421786785125,0.800705790519714,0.822628378868103,0.34590354561805725
HSPA13,P48723,P31150,36244454,GDI1,0.050795398652553,0.262421786785125,0.42091432213783203,0.279288202524185,0.34302395582199097
HSPA13,P48723,P15531,36244454,NME1,0.050795398652553,0.262421786785125,0.568373322486877,0.643221735954284,0.40057292580604553
HSPA13,P48723,O43759,36244454,SYNGR1,0.050795398652553,0.262421786785125,0.27203008532524103,0.05264422297477701,0.28286072611808777
HSPA13,P48723,Q00341,36244454,HDLBP,0.050795398652553,0.262421786785125,0.527656733989715,0.88329392671585,0.40266385674476624
HSPA13,P48723,P20340,36244454,RAB6A,0.050795398652553,0.262421786785125,0.563553571701049,0.543067574501037,0.19596801698207855
HSPA13,P48723,Q8N5K1,36244454,CISD2,0.050795398652553,0.262421786785125,0.054349131882190004,0.15786270797252602,0.2566462755203247
HSPA13,P48723,O75821,36244454,EIF3G,0.050795398652553,0.262421786785125,0.810005187988281,0.9082697629928581,0.4301668107509613
HSPA13,P48723,Q9BY50,36244454,SEC11C,0.050795398652553,0.262421786785125,0.27418965101242004,0.298104971647262,0.26841774582862854
HSPA13,P48723,Q9NW82,36244454,WDR70,0.050795398652553,0.262421786785125,0.062395326793193005,0.60500818490982,0.4195494055747986
HSPA13,P48723,Q14739,36244454,LBR,0.050795398652553,0.262421786785125,0.418950408697128,0.33437868952751104,0.33073797821998596
HSPA13,P48723,Q14974,36244454,KPNB1,0.050795398652553,0.262421786785125,0.09113700687885201,0.074117422103881,0.4261716902256012
HSPA13,P48723,P12268,36244454,IMPDH2,0.050795398652553,0.262421786785125,0.320046216249465,0.56648188829422,0.4933801591396332
