,Prey_uniprot,cossim
0,A0A024RBG1O75179,0.20923471450805664
1,A0A087WUL8O75179,0.4558122754096985
2,A0A087X1G2O75179,0.275562047958374
3,A0A096LP49O75179,0.5761134028434753
4,A0A0B4J2A2O75179,0.2123829573392868
5,A0A0B4J2D5O75179,0.3711325526237488
6,A0A0U1RQF7O75179,0.3961993157863617
7,A0A1B0GTR3O75179,0.3647196888923645
8,A0A1B0GTZ2O75179,0.5074621438980103
9,A0A1B0GUV7O75179,0.33674830198287964
10,A0AUZ9O75179,0.2202635556459427
11,A0AV02O75179,0.27446186542510986
12,A0AV96O75179,0.5831447839736938
13,A0AVF1O75179,0.2745940089225769
14,A0AVI4O75179,0.08666481822729111
15,A0AVK6O75179,0.4672066569328308
16,A0AVT1O75179,0.47177720069885254
17,A0FGR8O75179,0.5490397214889526
18,A0JLT2O75179,0.5581240057945251
19,A0JNW5O75179,0.5974868535995483
20,A0JP26O75179,0.31284427642822266
21,A0M8Q6O75179,0.1552036553621292
22,A0MZ66O75179,0.5044740438461304
23,A0PG75O75179,0.36037540435791016
24,A0PJE2O75179,0.30844882130622864
25,A0PJK1O75179,0.3736468255519867
26,A0PJW6O75179,0.2776026725769043
27,A0PJW8O75179,0.6212829351425171
28,A0PJX0O75179,0.4205445349216461
29,A0PJX2O75179,0.3383946418762207
30,A0PJX4O75179,0.32276540994644165
31,A0PJX8O75179,0.07761003077030182
32,A0PJY2O75179,0.594040036201477
33,A0PJZ3O75179,0.26212984323501587
34,A0PK00O75179,0.4216046929359436
35,A0PK05O75179,0.2522440552711487
36,A0PK11O75179,0.09532251209020615
37,A1A4F0O75179,0.2875875234603882
38,A1A4G5O75179,0.18782152235507965
39,A1A4S6O75179,0.31004399061203003
40,A1A4Y4O75179,0.3535101115703583
41,A1A519O75179,0.4636661410331726
42,A1A580O75179,0.3253750503063202
43,A1A5B4O75179,0.3264617919921875
44,A1A5C7O75179,0.37197890877723694
45,A1A5D9O75179,0.2745875418186188
46,A1E959O75179,0.7293210625648499
47,A1IGU5O75179,0.09888595342636108
48,A1KXE4O75179,0.5810810923576355
49,A1KZ92O75179,0.3248426914215088
50,A1L020O75179,0.4074417054653168
51,A1L0T0O75179,0.5188502073287964
52,A1L157O75179,0.2603549659252167
53,A1L162O75179,0.36932283639907837
54,A1L168O75179,0.407728910446167
55,A1L170O75179,0.5307108163833618
56,A1L188O75179,0.23385849595069885
57,A1L190O75179,0.4483921527862549
58,A1L390O75179,0.48839274048805237
59,A1L3X0O75179,0.2969619333744049
60,A1L443O75179,0.5451130867004395
61,A1L4H1O75179,0.45625314116477966
62,A1L4K1O75179,0.6134446263313293
63,A1L4L8O75179,0.3967171013355255
64,A1X283O75179,0.4660162031650543
65,A1XBS5O75179,0.3615414500236511
66,A1YPR0O75179,0.4507555365562439
67,A1Z1Q3O75179,0.1832791417837143
68,A2A2V5O75179,0.2519747018814087
69,A2A2Y4O75179,0.3813459873199463
70,A2A368O75179,0.18652090430259705
71,A2A3K4O75179,0.3485546112060547
72,A2A3N6O75179,0.5622448921203613
73,A2AJT9O75179,0.33827534317970276
74,A2IDD5O75179,0.13905581831932068
75,A2RRD8O75179,0.4454677104949951
76,A2RRH5O75179,0.17554771900177002
77,A2RRL7O75179,0.2383984625339508
78,A2RRP1O75179,0.3885713815689087
79,A2RTX5O75179,0.355334609746933
80,A2RTY3O75179,0.20243167877197266
81,A2RU14O75179,0.34269076585769653
82,A2RU30O75179,0.3484704792499542
83,A2RU37O75179,0.35640498995780945
84,A2RU48O75179,0.14361721277236938
85,A2RU49O75179,0.3756808638572693
86,A2RU67O75179,0.41392335295677185
87,A2RUB1O75179,0.32149738073349
88,A2RUB6O75179,0.46196800470352173
89,A2RUC4O75179,0.44997119903564453
90,A2RUG3O75179,0.12306954711675644
91,A2RUH7O75179,0.2082611322402954
92,A2RUQ5O75179,0.1873679757118225
93,A2RUS2O75179,0.1227979063987732
94,A2RUT3O75179,0.18833638727664948
95,A2RUU4O75179,0.28937214612960815
96,A2VCK2O75179,0.5750843286514282
97,A2VDF0O75179,0.3272373080253601
98,A2VDJ0O75179,0.38924646377563477
99,A3KMH1O75179,0.4980320334434509
100,A3KN83O75179,0.546804666519165
101,A4D0S4O75179,0.1526247262954712
102,A4D161O75179,0.5182845592498779
103,A4D1E9O75179,0.49558568000793457
104,A4D1P6O75179,0.4942617416381836
105,A4D1S0O75179,0.5114177465438843
106,A4D1S5O75179,0.1402181088924408
107,A4D1T9O75179,0.3380146026611328
108,A4D1U4O75179,0.3129856288433075
109,A4D2B0O75179,0.2427593469619751
110,A4D2G3O75179,0.13464947044849396
111,A4D2P6O75179,0.10501855611801147
112,A4FU01O75179,0.23722991347312927
113,A4FU69O75179,0.32527977228164673
114,A4GXA9O75179,0.30016234517097473
115,A4QMS7O75179,0.2635815143585205
116,A4QPH2O75179,0.37566789984703064
117,A4UGR9O75179,0.36690932512283325
118,A5A3E0O75179,0.5593420267105103
119,A5D8T8O75179,0.12742562592029572
120,A5D8V6O75179,0.5272471904754639
121,A5D8V7O75179,0.3307240605354309
122,A5D8W1O75179,0.41247114539146423
123,A5LHX3O75179,0.47660622000694275
124,A5PL33O75179,0.4576539993286133
125,A5PLL7O75179,0.1850627213716507
126,A5PLN9O75179,0.4413866102695465
127,A5X5Y0O75179,0.12584368884563446
128,A5YKK6O75179,0.8066568374633789
129,A5YM69O75179,0.26669254899024963
130,A6BM72O75179,0.25626590847969055
131,A6H8M9O75179,0.09409068524837494
132,A6H8Y1O75179,0.5638144016265869
133,A6H8Z2O75179,0.49953824281692505
134,A6NC42O75179,0.2556157112121582
135,A6NC98O75179,0.7449865341186523
136,A6NCE7O75179,0.27100884914398193
137,A6NCF5O75179,0.06325582414865494
138,A6NCL1O75179,0.10544989258050919
139,A6NCL7O75179,0.16498006880283356
140,A6NCN2O75179,0.2525758147239685
141,A6NCS6O75179,0.1434408724308014
142,A6ND36O75179,0.3443012535572052
143,A6ND48O75179,0.10568667948246002
144,A6ND91O75179,0.4226040840148926
145,A6NDB9O75179,0.17860963940620422
146,A6NDG6O75179,0.3910587430000305
147,A6NDK9O75179,0.28646567463874817
148,A6NDN3O75179,0.27935847640037537
149,A6NDP7O75179,0.3869326412677765
150,A6NDS4O75179,0.4410243034362793
151,A6NDU8O75179,0.2727561593055725
152,A6NDV4O75179,0.03154388815164566
153,A6NDY0O75179,0.7662156224250793
154,A6NE02O75179,0.2891593277454376
155,A6NE82O75179,0.16806212067604065
156,A6NED2O75179,0.5190836787223816
157,A6NEL2O75179,0.3509765863418579
158,A6NEM1O75179,0.7381706237792969
159,A6NEQ0O75179,0.21554279327392578
160,A6NER0O75179,0.08523214608430862
161,A6NER3O75179,0.2223343849182129
162,A6NFD8O75179,0.5302848219871521
163,A6NFI3O75179,0.45010051131248474
164,A6NFN3O75179,0.39919808506965637
165,A6NFQ2O75179,0.28991934657096863
166,A6NFU0O75179,0.33596178889274597
167,A6NFY4O75179,0.08493469655513763
168,A6NFY7O75179,0.2827765941619873
169,A6NGB9O75179,0.465125173330307
170,A6NGC4O75179,0.22913411259651184
171,A6NGK3O75179,0.21633855998516083
172,A6NGQ2O75179,0.4201901853084564
173,A6NGR9O75179,0.1694038212299347
174,A6NGS2O75179,0.18750348687171936
175,A6NGU5O75179,0.0805417075753212
176,A6NH52O75179,0.27509576082229614
177,A6NHC0O75179,0.33610376715660095
178,A6NHJ4O75179,0.19168300926685333
179,A6NHL2O75179,0.20080597698688507
180,A6NHP3O75179,0.2807435393333435
181,A6NHQ2O75179,0.41430163383483887
182,A6NHQ4O75179,0.3438637852668762
183,A6NHR9O75179,0.5905808806419373
184,A6NHX0O75179,0.3353741765022278
185,A6NHZ5O75179,0.21405498683452606
